,G1,G2,G3,studytime,failures,absences
0,5,6,6,2,0,6
1,5,5,6,2,0,4
2,7,8,10,2,3,10
3,15,14,15,3,0,2
4,6,10,10,2,0,4
5,15,15,15,2,0,10
6,12,12,11,2,0,0
7,6,5,6,2,0,6
8,16,18,19,2,0,0
9,14,15,15,2,0,0
10,10,8,9,2,0,0
11,10,12,12,3,0,4
12,14,14,14,1,0,2
13,10,10,11,2,0,2
14,14,16,16,3,0,0
15,14,14,14,1,0,4
16,13,14,14,3,0,6
17,8,10,10,2,0,4
18,6,5,5,1,3,16
19,8,10,10,1,0,4
20,13,14,15,2,0,0
21,12,15,15,1,0,0
22,15,15,16,2,0,2
23,13,13,12,2,0,0
24,10,9,8,3,0,2
25,6,9,8,1,2,14
26,12,12,11,1,0,2
27,15,16,15,1,0,4
28,11,11,11,2,0,4
29,10,12,11,2,0,16
30,9,11,12,2,0,0
31,17,16,17,2,0,0
32,17,16,16,2,0,0
33,8,10,12,2,0,0
34,12,14,15,1,0,0
35,8,7,6,1,0,0
36,15,16,18,3,0,2
37,15,16,15,3,0,7
38,12,12,11,3,0,2
39,14,13,13,1,0,8
40,7,10,11,2,1,25
41,12,12,12,1,0,8
42,19,18,18,2,0,2
43,8,8,11,1,0,0
44,10,10,9,2,1,14
45,8,8,6,2,0,8
46,11,12,11,2,0,12
47,19,19,20,4,0,4
48,15,15,14,2,0,2
49,7,7,7,2,1,2
50,12,13,13,2,0,2
51,11,13,13,2,0,2
52,11,11,10,1,1,6
53,8,10,11,1,0,0
54,10,13,13,1,0,6
55,8,9,10,2,0,8
56,14,15,15,2,0,0
57,14,15,15,2,0,4
58,9,10,9,2,0,2
59,15,16,16,2,0,2
60,10,11,11,2,0,6
61,10,8,11,1,0,6
62,8,10,9,2,0,4
63,10,9,9,3,0,2
64,10,10,10,2,0,0
65,16,15,15,2,0,2
66,13,13,12,4,0,4
67,7,7,6,4,0,4
68,8,9,8,2,0,2
69,16,16,16,4,0,12
70,13,15,15,4,0,0
71,10,10,10,4,0,0
72,8,6,5,2,2,2
73,12,12,14,1,0,2
74,11,12,11,2,0,54
75,9,9,10,2,0,6
76,11,11,10,4,0,8
77,11,11,11,4,0,0
78,8,8,10,1,3,2
79,5,5,5,2,0,12
80,10,12,12,1,0,2
81,11,10,11,3,0,4
82,7,6,6,2,0,10
83,15,15,15,2,0,4
84,9,10,10,2,0,2
85,7,9,8,2,2,6
86,8,7,6,2,0,4
87,13,14,14,3,0,4
88,11,10,10,2,1,12
89,8,6,7,2,0,18
90,7,7,8,3,0,0
91,16,17,18,1,0,4
92,7,6,6,2,0,4
93,11,10,10,2,0,0
94,11,13,14,4,0,6
95,7,10,10,4,1,2
96,11,15,15,1,0,2
97,8,9,10,2,0,2
98,11,14,14,1,0,6
99,7,9,8,3,0,0
100,7,7,5,1,0,14
101,16,17,17,3,0,0
102,10,13,14,1,0,4
103,7,6,6,2,0,26
104,16,18,18,2,0,0
105,10,11,11,4,0,10
106,7,8,8,4,0,8
107,16,18,18,3,0,2
108,10,13,13,4,0,6
109,14,15,16,3,0,4
110,18,19,19,1,0,6
111,7,10,10,3,1,0
112,10,13,13,2,1,6
113,18,19,19,1,0,10
114,9,9,9,2,0,8
115,15,15,16,2,0,2
116,11,13,14,2,0,2
117,13,14,13,1,0,0
